Title,Price,Bedroom,Bathroom,Area sqm,DistrictID,Furnished,ProvinceID,Community_id
Luxury Apartment for Sale in Clemenceau!,2200000,3,5,470,28,no,2,169
2 Bedrooms Apartment For Sale In A Calm Area,155000,2,2,112,24,no,6,251
3 Bedrooms Apartment with Sea & Mountain View,300000,3,3,150,24,yes,6,721
Chalet for sale in Faqra,850000,4,5,307,32,yes,6,1089
Chalet for sale in Faqra/ View,900000,3,4,255,32,yes,6,1089
Modern & Well Decorated Chalet For Sale /  Faqra,335000,2,3,180,32,no,6,1089
Apartment for sale in Broumana/Garden شقة للبيع في برمانا,1200000,4,5,540,24,yes,6,1301
Apartment for sale in Dahr El Souane/ Duplex/ Amazing View/ Garden,450000,3,4,287,24,no,6,867
Apartment for sale in Dahr El Souane/New,260000,3,3,185,24,no,6,867
Luxurious  apartment In Zalka for Sale / Get i,360000,3,3,190,24,no,6,1086
Duplex High Ceiling Mountain View For SALE In Beit Meri,649999,4,6,400,24,no,6,1011
Spacious Apartment for Sale I Prime Location,2300000,4,4,430,28,no,2,105
APARTMENT FOR SALE IN BSALIM,300000,3,3,200,24,no,6,393
Apartment for sale in bsalim,120000,2,2,110,24,no,6,393
Apartment for sale in Daher El souane/Terrace شقة للبيع في ضهر الصوان,549999,3,4,400,24,no,6,867
