Address,Price $,Size m²,Bedrooms,Bathrooms,Furnished
"Yarzeh, Baabda, Mount Lebanon",1500000,695,3,5,partly
"Baabda, Baabda, Mount Lebanon",515000,262,3,5,no
"Baabda, Baabda, Mount Lebanon",300000,164,3,4,no
"Baabda, Baabda, Mount Lebanon",335000,230,3,4,no
"Naqqache, El Metn, Mount Lebanon",235000,187,3,3,no
"Chemlan, Aley, Mount Lebanon",900000,900,4,5,no
"Boutchay, Baabda, Mount Lebanon",200000,145,3,3,no
"Ain Aar, El Metn, Mount Lebanon",425000,280,3,4,no
"Monteverde, El Metn, Mount Lebanon",525000,287,3,3,yes
"Yarzeh, Baabda, Mount Lebanon",650000,287,3,3,partly
"Yarzeh, Baabda, Mount Lebanon",1100000,394,5,5,partly
"Hadath, Baabda, Mount Lebanon",200000,206,3,3,no
"Louaizeh, Baabda, Mount Lebanon",750000,427,4,5,yes
"El Biyada, El Metn, Mount Lebanon",750000,385,4,4,no
"El Biyada, El Metn, Mount Lebanon",1000000,520,4,5,no
"Qennabet Baabdat, El Metn, Mount Lebanon",180000,162,3,3,no
"Achrafieh, Beirut, Beirut",390000,144,2,3,no
"Hazmieh, Baabda, Mount Lebanon",580000,340,4,4,yes
"Hamra, Beirut, Beirut",250000,115,2,2,no
"Yarzeh, Baabda, Mount Lebanon",1750000,769,4,7,yes
"Achrafieh, Beirut, Beirut",1000000,380,4,5,no
"Achrafieh, Beirut, Beirut",1000000,380,4,5,no
"Ras El Nabeh, Beirut, Beirut",1500000,450,4,6,yes
"Biaqout, El Metn, Mount Lebanon",465000,200,3,4,yes
"Achrafieh, Beirut, Beirut",250000,100,2,2,no
"Baabda, Baabda, Mount Lebanon",950000,370,4,4,yes
"Yarzeh, Baabda, Mount Lebanon",1800000,550,4,7,no
"Ouyoun Broummana, El Metn, Mount Lebanon",125000,130,2,2,yes
"Achrafieh, Beirut, Beirut",255000,170,3,3,partly
"Rabieh, El Metn, Mount Lebanon",2150000,977,N/A,N/A,no
"Ras El Nabeh, Beirut, Beirut",430000,230,3,4,no
"Yarzeh, Baabda, Mount Lebanon",2850000,3434,N/A,N/A,no
"Baouchriyeh, El Metn, Mount Lebanon",154999,150,3,2,no
"Jeita, Kesrouane, Mount Lebanon",520000,170,3,2,no
"Jal el Dib, El Metn, Mount Lebanon",140000,120,2,2,no
"Baabda, Baabda, Mount Lebanon",770000,465,4,5,no
"Baabda, Baabda, Mount Lebanon",670000,330,4,5,no
"Hadath, Baabda, Mount Lebanon",110000,140,2,2,no
"Fassouh, Beirut, Beirut",750000,236,5,4,no
"Achrafieh, Beirut, Beirut",980000,280,3,5,no
"Jeita, Kesrouane, Mount Lebanon",159999,170,2,4,yes
"Jamhour, Baabda, Mount Lebanon",1200000,1000,6,8,no
"Zouk Mikael, Kesrouane, Mount Lebanon",67999,135,2,2,no
"Haret El Bellan, El Metn, Mount Lebanon",179999,130,3,3,partly
"Ain El Remmaneh (Baabda), Baabda, Mount Lebanon",139999,128,2,2,yes
"Rawche, Beirut, Beirut",3519999,650,3,5,no
"Ouyoun Broummana, El Metn, Mount Lebanon",324999,690,N/A,N/A,no
"Faqra, Kesrouane, Mount Lebanon",274999,505,N/A,N/A,no
"Ain El Remmaneh (Baabda), Baabda, Mount Lebanon",344999,250,5,3,no
"Jamhour, Baabda, Mount Lebanon",1299999,1000,2,2,no
"Jamhour, Baabda, Mount Lebanon",399999,235,4,6,no
"Elissar, El Metn, Mount Lebanon",390000,325,3,3,no
"Jamhour, Baabda, Mount Lebanon",369999,220,3,4,no
"Adma, Kesrouane, Mount Lebanon",219999,175,3,4,yes
"Achrafieh, Beirut, Beirut",2099999,500,4,6,no
"Kfarhbab, Kesrouane, Mount Lebanon",329999,225,3,5,no
"Ain Saadeh, El Metn, Mount Lebanon",449999,311,3,4,yes
"Mansourieh, El Metn, Mount Lebanon",144999,120,2,2,no
"Blaybel, Aley, Mount Lebanon",199999,175,3,3,no
